Date,Open,High,Low,close,Adj Close,Volume
2023-08-30,134.929993,135.679993,133.919998,135.070007,135.070007,36137000
2023-08-31,135.059998,138.789993,135.000000,138.009995,138.009995,58781300
2023-09-01,139.460007,139.960007,136.880005,138.119995,138.119995,40948300
2023-09-05,137.729996,137.800003,135.820007,137.270004,137.270004,40636700
2023-09-06,136.320007,137.449997,134.610001,135.360001,135.360001,41785500
2023-09-07,133.899994,138.029999,133.160004,137.850006,137.850006,48498900
2023-09-08,136.860001,138.850006,136.750000,138.229996,138.229996,38348200
