Date,Open,High,Low,close,Adj Close,Volume,sentiment_score,intensity_score,type_token_ratio
1980-12-12,0.128348,0.128906,0.128348,0.128348,0.099319,469033600,0.0,0.46948956622254673,0.0
1980-12-15,0.12221,0.12221,0.121652,0.121652,0.094137,175884800,0.0,0.46948956622254673,0.0
1980-12-16,0.113281,0.113281,0.112723,0.112723,0.087228,105728000,0.0,0.46948956622254673,0.0
1980-12-17,0.115513,0.116071,0.115513,0.115513,0.089387,86441600,0.0,0.46948956622254673,0.0
1980-12-18,0.118862,0.11942,0.118862,0.118862,0.091978,73449600,0.0,0.46948956622254673,0.0
1980-12-19,0.126116,0.126674,0.126116,0.126116,0.097591,48630400,0.0,0.46948956622254673,0.0
1980-12-22,0.132254,0.132813,0.132254,0.132254,0.102341,37363200,0.0,0.46948956622254673,0.0
1980-12-23,0.137835,0.138393,0.137835,0.137835,0.10666,46950400,0.0,0.46948956622254673,0.0
1980-12-24,0.145089,0.145647,0.145089,0.145089,0.112273,48003200,0.0,0.46948956622254673,0.0
1980-12-26,0.158482,0.15904,0.158482,0.158482,0.122637,55574400,0.0,0.46948956622254673,0.0
1980-12-29,0.160714,0.161272,0.160714,0.160714,0.124364,93161600,0.0,0.46948956622254673,0.0
1980-12-30,0.157366,0.157366,0.156808,0.156808,0.121342,68880000,0.0,0.46948956622254673,0.0
1980-12-31,0.152902,0.152902,0.152344,0.152344,0.117887,35750400,0.0,0.46948956622254673,0.0
1981-01-02,0.154018,0.155134,0.154018,0.154018,0.119183,21660800,0.0,0.46948956622254673,0.0
1981-01-05,0.151228,0.151228,0.15067,0.15067,0.116592,35728000,0.0,0.46948956622254673,0.0
1981-01-06,0.144531,0.144531,0.143973,0.143973,0.11141,45158400,0.0,0.46948956622254673,0.0
1981-01-07,0.138393,0.138393,0.137835,0.137835,0.10666,55686400,0.0,0.46948956622254673,0.0
1981-01-08,0.135603,0.135603,0.135045,0.135045,0.104501,39827200,0.0,0.46948956622254673,0.0
1981-01-09,0.142299,0.142857,0.142299,0.142299,0.110114,21504000,0.0,0.46948956622254673,0.0
1981-01-12,0.142299,0.142299,0.141183,0.141183,0.109251,23699200,0.0,0.46948956622254673,0.0
1981-01-13,0.136719,0.136719,0.136161,0.136161,0.105365,23049600,0.0,0.46948956622254673,0.0
1981-01-14,0.136719,0.137277,0.136719,0.136719,0.105796,14291200,0.0,0.46948956622254673,0.0
1981-01-15,0.139509,0.140625,0.139509,0.139509,0.107955,14067200,0.0,0.46948956622254673,0.0
1981-01-16,0.138951,0.138951,0.138393,0.138393,0.107092,13395200,0.0,0.46948956622254673,0.0
1981-01-19,0.146763,0.147321,0.146763,0.146763,0.113569,41574400,0.0,0.46948956622254673,0.0
1981-01-20,0.142857,0.142857,0.142299,0.142299,0.110114,30083200,0.0,0.46948956622254673,0.0
1981-01-21,0.145089,0.146205,0.145089,0.145089,0.112273,15904000,0.0,0.46948956622254673,0.0
1981-01-22,0.146763,0.147879,0.146763,0.146763,0.113569,35548800,0.0,0.46948956622254673,0.0
1981-01-23,0.146763,0.147321,0.146205,0.146205,0.113137,11222400,0.0,0.46948956622254673,0.0
1981-01-26,0.144531,0.144531,0.143973,0.143973,0.11141,24640000,0.0,0.46948956622254673,0.0
1981-01-27,0.143973,0.143973,0.142857,0.142857,0.110546,23699200,0.0,0.46948956622254673,0.0
1981-01-28,0.138951,0.138951,0.138393,0.138393,0.107092,28156800,0.0,0.46948956622254673,0.0
1981-01-29,0.133929,0.133929,0.133371,0.133371,0.103206,43904000,0.0,0.46948956622254673,0.0
1981-01-30,0.127232,0.127232,0.126116,0.126116,0.097591,46188800,0.0,0.46948956622254673,0.0
1981-02-02,0.11942,0.11942,0.118862,0.118862,0.091978,23766400,0.0,0.46948956622254673,0.0
1981-02-03,0.123326,0.123884,0.123326,0.123326,0.095433,19152000,0.0,0.46948956622254673,0.0
1981-02-04,0.12779,0.128348,0.12779,0.12779,0.098887,27865600,0.0,0.46948956622254673,0.0
1981-02-05,0.12779,0.128906,0.12779,0.12779,0.098887,7929600,0.0,0.46948956622254673,0.0
1981-02-06,0.128348,0.128906,0.128348,0.128348,0.099319,13865600,0.0,0.46948956622254673,0.0
1981-02-09,0.122768,0.122768,0.121652,0.121652,0.094137,16755200,0.0,0.46948956622254673,0.0
