Date,Open,High,Low,Close,Adj Close,Volume,sentiment_score,intensity_score,type_token_ratio
2010-06-29,1.266667,1.666667,1.169333,1.592667,1.592667,281494500,0.8890950832072871,0.4595233998623538,0.9861111111111112
2010-06-30,1.719333,2.028,1.553333,1.588667,1.588667,257806500,0.8755327249778252,0.6857650837348016,1.0
2010-07-01,1.666667,1.728,1.351333,1.464,1.464,123282000,0.0,0.47946776783665984,0.0
2010-07-02,1.533333,1.54,1.247333,1.28,1.28,77097000,0.9461291811856142,0.7528676301904107,0.9090909090909092
2010-07-06,1.333333,1.333333,1.055333,1.074,1.074,103003500,0.0,0.47946776783665984,0.0
2010-07-07,1.093333,1.108667,0.998667,1.053333,1.053333,103825500,0.0,0.47946776783665984,0.0
2010-07-08,1.076,1.168,1.038,1.164,1.164,115671000,0.932644053185633,0.47946776783665984,1.0
2010-07-09,1.172,1.193333,1.103333,1.16,1.16,60759000,0.0,0.47946776783665984,0.0
2010-07-12,1.196667,1.204667,1.133333,1.136667,1.136667,33037500,0.0,0.47946776783665984,0.0
2010-07-13,1.159333,1.242667,1.126667,1.209333,1.209333,40201500,0.0,0.47946776783665984,0.0
2010-07-14,1.196,1.343333,1.184,1.322667,1.322667,62928000,0.0,0.47946776783665984,0.0
2010-07-15,1.329333,1.433333,1.266667,1.326,1.326,56097000,0.0,0.47946776783665984,0.0
2010-07-16,1.38,1.42,1.336667,1.376,1.376,39319500,0.8890223835942016,0.47946776783665984,1.0
2010-07-19,1.424667,1.483333,1.394667,1.460667,1.460667,37297500,0.9011106834060076,0.47946776783665984,1.0
2010-07-20,1.456667,1.456667,1.336667,1.353333,1.353333,27379500,0.0,0.47946776783665984,0.0
2010-07-21,1.377333,1.393333,1.3,1.348,1.348,18787500,0.0,0.47946776783665984,0.0
2010-07-22,1.366667,1.416667,1.358,1.4,1.4,14367000,0.0,0.47946776783665984,0.0
2010-07-23,1.412667,1.437333,1.404,1.419333,1.419333,9804000,0.0,0.47946776783665984,0.0
2010-07-26,1.433333,1.433333,1.353333,1.396667,1.396667,13833000,0.0,0.47946776783665984,0.0
2010-07-27,1.394,1.412,1.350667,1.37,1.37,9295500,0.0,0.47946776783665984,0.0
2010-07-28,1.37,1.393333,1.367333,1.381333,1.381333,7008000,0.0,0.47946776783665984,0.0
2010-07-29,1.384667,1.392,1.333333,1.356667,1.356667,9240000,0.0,0.47946776783665984,0.0
2010-07-30,1.346667,1.362667,1.303333,1.329333,1.329333,6403500,0.0,0.47946776783665984,0.0
